@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute Linearity numeric
@attribute 'Close to Cam' numeric
@attribute 'Close to Other Face' numeric
@attribute Smile {0,1,2}

@data
656,'2017/02/11 13:50:14:258',10,0.000051,68.894783,548.457397,129.231796,5.478531,56.988361,391.900574,71.25415,155.644806,0,72.031326,173.871002,330.704285,127.001846,1,?,?,?
657,'2017/02/11 13:50:14:453',10,0.000052,69.413239,549.302429,129.240051,3.199313,56.897148,394.892029,70.004425,155.466522,0,71.132454,175.260529,330.793518,126.438416,1,?,?,?
658,'2017/02/11 13:50:14:551',10,0.000028,69.834511,549.540649,128.935852,1.482119,57.02615,394.547913,70.60965,155.354385,0,70.591957,175.286484,330.622192,126.213638,1,?,?,?
659,'2017/02/11 13:50:14:626',10,0.000022,69.224533,550.048584,129.269089,1.289416,56.921391,395.348358,69.713409,154.765594,0,71.149101,176.279633,331.641724,127.175888,1,?,?,?
660,'2017/02/11 13:50:14:763',10,0.000018,69.089752,549.706909,128.978882,0.597521,57.274796,394.698303,70.180832,155.471893,0,70.888062,175.593475,330.777832,127.284409,1,?,?,?
661,'2017/02/11 13:50:14:911',10,0.000014,69.693558,549.984009,129.350403,1.202751,55.715122,397.45752,67.801697,156.173721,0,71.561035,177.587219,331.397644,125.535637,1,?,?,?
662,'2017/02/11 13:50:14:991',10,0.000021,68.697121,550.318176,129.455521,1.292907,56.062485,395.631195,69.48362,155.047913,0,71.196388,175.529236,330.825806,126.192474,1,?,?,?
663,'2017/02/11 13:50:28:980',11,0.000055,61.085903,521.288818,369.649536,97.405396,57.566406,373.972748,62.341042,380.108734,0,60.807285,201.654999,346.656311,368.657593,1,?,?,?
664,'2017/02/11 13:50:29:166',11,0.000044,60.516163,520.954224,369.929443,96.542511,55.670639,375.080322,62.251038,380.555298,0,60.691959,202.656174,347.098877,368.732147,1,?,?,?
665,'2017/02/11 13:50:29:287',11,0.000028,61.427635,521.292297,369.348175,97.700684,54.829807,374.575378,62.37545,381.028015,0,60.78854,203.26947,347.653503,368.793671,1,?,?,?
666,'2017/02/11 13:50:29:464',11,0.000025,61.060284,521.483093,369.369934,98.225258,55.036678,375.188995,62.331154,380.764282,0,61.891514,204.680176,349.789459,368.892975,1,?,?,?
667,'2017/02/11 13:50:29:577',11,0.000017,61.592144,521.211121,369.324829,96.086708,54.940525,375.06665,61.484859,380.134308,0,60.125736,205.363693,349.785736,369.540192,1,?,?,?
668,'2017/02/11 13:50:29:764',11,0.000009,61.247494,521.463989,369.677002,94.199776,55.878273,376.295715,61.541607,379.306519,0,59.864803,206.611557,350.082794,369.357727,1,?,?,?
669,'2017/02/11 13:50:29:867',11,0.000006,61.781773,521.62738,369.391144,87.236275,55.876686,375.358276,61.897583,378.806946,0,59.844112,205.952362,350.517273,369.647339,1,?,?,?
